"a 丫
pini 未
pipi 虫
pipi 蟲
pipi 非
poka 旁
poka 边
poka 側
poka 近
poka 傍
poka 双
poka 跟
poki 包
poki 箱
poki 皿
poki 容
poki 凵
pona 良
pona 好
pona 善
pona 火
pu 經
pu 樸
pu 书
pu 忟
pu プ
pu 聖
pu 書
sama 同
sama 似
sama 如
sama 卄
seli 火
seli 溫
seli 义
selo 皮
selo 外
selo 甲
selo 膚
selo 风
seme 何
seme 什
seme 凶
sewi 上
sewi 天
sewi 丄
sijelo 身
sijelo 体
sijelo 形
sijelo 几
sike 圓
sike 回
sike 丸
sike 圆
sike 圈
sike 〇
sike 円
sike 年
sin 新
sin 生
sin 古
sina 你
sina 汝
sina 尔
sina 君
sina 从
sina 友
sinpin 前
sinpin 垣
sinpin 壁
sinpin 凡
sinpin 面
sitelen 画
sitelen 文
sitelen 字
sitelen 畵
sitelen 书
sitelen 書
sitelen 畫
sona 知
sona 眍
soweli 牛
soweli 獸
soweli 畜
soweli 马
soweli 猫
soweli 犬
soweli 兽
soweli 勿
soweli 獣
suli 大
suli 高
suno 日
suno 光
supa 面
supa 张
supa 丌
supa 私
supa 牀
supa 案
supa 又
supa 横
supa 地
suwi 甘
suwi 甜
suwi 炎
tan 由
tan 从
tan 因
tan 自
tan 巛
tan 元
tan 本
taso 只
taso 但
taso 惟
taso 許
taso 獨
taso 亠
tawa 去
tawa 于
tawa 行
tawa 向
tawa 到
tawa 往
tawa 仈
telo 水
telo 川
tenpo 時
tenpo 时
tenpo 辰
tenpo 夕
tenpo 旬
toki 言
toki 语
toki 斤
tomo 家
tomo 穴
tomo 室
tomo 居
tomo 所
tomo 房
tomo 囗
tomo 屋
tu 二
unpa 性
unpa 盛
unpa 交
unpa 媾
unpa 合
unpa 仌
unpa 操
unpa 肏
uta 口
uta 匚
utala 斗
utala 戰
utala 战
utala 戦
utala 鬭
utala 鬥
utala 竞
utala 父
utala 攻
utala 戈
walo 白
walo 旲
wan 一
waso 鳥
waso 鸟
waso 乐
wawa 力
wawa 強
wawa 威
wawa 氣
weka 去
weka 脱
weka 遥
weka 脫
weka 丟
weka 缺
weka 遠
weka 离
weka 冈
weka 捨
wile 要
wile 欲
wile 吢
kin 也
kin 又
kin 亦
kin 仍
kin 矣
kin 另
kin 実
namako 冗
namako 加
namako 辛
namako 益
namako 余
namako 新
namako 灬
namako 添
namako 鹽
oko 目
oko 见
epiku 雄
epiku 正
epiku 傳
jasima 反
kijete­san­takalu 鼬
kipisi 切
kipisi 刻
kipisi 斷
kipisi 分
kokosila 鰐
kokosila 異
kokosila 鱷
ku 典
ku 叴
lanpan 取
lanpan 匪
leko 方
leko 甓
meso 中
meso 央
misikeke 醫
misikeke 丸
misikeke 藥
monsuta 鬼
monsuta 化
monsuta 凶
n 焉
n 嗯
soko 菌
soko 古
soko 蕈
tonsi 志
tonsi 中
tonsi 無
apeja 罪
apeja 丑
apeja 恥
ete 超
ewe 巖
ewe 岩
isipin 思
kalamARR 盜
---
a 󱤀
akesi 󱤁
ala 󱤂
alasa 󱤃
ale 󱤄
anpa 󱤅
ante 󱤆
anu 󱤇
awen 󱤈
e 󱤉 
en 󱤊
esun 󱤋
ijo 󱤌
ike 󱤍
ilo 󱤎
insa 󱤏
jaki 󱤐
jan 󱤑
jelo 󱤒
jo 󱤓
kala 󱤔
kalama 󱤕
kama 󱤖
kasi 󱤗
ken 󱤘
kepeken 󱤙
kili 󱤚
kiwen 󱤛
ko 󱤜
kon 󱤝
kule 󱤞
kulupu 󱤟
kute 󱤠
la 󱤡
lape 󱤢
laso 󱤣
lawa 󱤤
len 󱤥
lete 󱤦
li 󱤧
lili 󱤨
linja 󱤩
lipu 󱤪
loje 󱤫
lon 󱤬
luka 󱤭
lukin 󱤮
lupa 󱤯
ma 󱤰
mama 󱤱
mani 󱤲
meli 󱤳
mi 󱤴
mije 󱤵
moku 󱤶
moli 󱤷
monsi 󱤸
mu 󱤹
mun 󱤺
musi 󱤻
mute 󱤼
nanpa 󱤽
nasa 󱤾
nasin 󱤿
nena 󱥀
ni 󱥁
nimi 󱥂
noka 󱥃
o 󱥄
olin 󱥅
ona 󱥆
open 󱥇
pakala 󱥈
pali 󱥉
palisa 󱥊
pan 󱥋
pana 󱥌
pi 󱥍
pilin 󱥎
pimeja 󱥏
pini 󱥐
pipi 󱥑
poka 󱥒
poki 󱥓
pona 󱥔
pu 󱥕
sama 󱥖
seli 󱥗
selo 󱥘
seme 󱥙
sewi 󱥚
sijelo 󱥛
sike 󱥜
sin 󱥝
sina 󱥞
sinpin 󱥟
sitelen 󱥠
sona 󱥡
soweli 󱥢
suli 󱥣
suno 󱥤
supa 󱥥
suwi 󱥦
tan 󱥧
taso 󱥨
tawa 󱥩
telo 󱥪
tenpo 󱥫
toki 󱥬
tomo 󱥭
tu 󱥮
unpa 󱥯
uta 󱥰
utala 󱥱
walo 󱥲
wan 󱥳
waso 󱥴
wawa 󱥵
weka 󱥶
wile 󱥷
namako 󱥸
kin 󱥹
oko 󱥺
kipisi 󱥻
leko 󱥼
monsuta 󱥽
tonsi 󱥾
jasima 󱥿
kijetesantakalu 󱦀
soko 󱦁
meso 󱦂
epiku 󱦃
kokosila 󱦄
lanpan 󱦅
n 󱦆
misikeke 󱦇
ku 󱦈
pake 󱦠
apeja 󱦡
majuna 󱦢
powe 󱦣
( 󱦗
) 󱦘
[ 󱦐 
] 󱦑
{ 󱦚 
} 󱦛 
^ 󱦕 
* 󱦖 
. 󱦜
: 󱦝　
" 「 」
---
a ⍤︎
akesi ⍡︎
ala ∅︎
ale ◉︎
ali ◉︎
anpa ↓︎
ante ⎌︎
anu ∨︎
awen ⚓︎
e ↱︎
en &︎
ijo ⚛︎
ike ☹︎
ilo ✄︎
insa ⎆︎
jaki ☣︎
jan ⵅ︎
jelo ▥︎
jelo ■︎
jo ⧈︎
kala ᘙ︎
kalama ♪︎
kama ⧉︎
kasi ⚘︎
ken ✓︎
kepeken ⚒︎
kili ᴥ︎
kin ◅︎
kiwen ●︎
ko ◍︎
kon ⚐︎
kule ▧︎
kulupu ፨︎
kute ✆︎
la ⊏︎
lape ⌤︎
laso ▦︎
laso ■︎
lawa ♕︎
len ♟︎
lete ☃︎
li ↴︎
lili ▵︎
linja ☡︎
lipu ‿︎
loje ▤︎
loje ■︎
lon ⍾︎
luka ⌈︎
lukin ∢︎
lupa ◘︎
ma ⏚︎
mama ☝︎
mani ¤︎
meli ♀︎
mi ⇊︎
mije ♂︎
moku ☕︎
moli ☠︎
monsi ↫︎
mu ⍣︎
mun ☾︎
musi ☊︎
mute ⚃︎
nanpa ⋕︎
nasa ⦼︎
nasin ᔔ︎
nena ♎︎
ni ⇲︎
nimi ⊟︎
noka ⌊︎
o ⚠︎
oko ⚇︎
olin ♡︎
ona ⇆︎
open ⍽︎
pakala ☁︎
pali ♠︎
palisa ∕︎
pana ✉︎
pi ⟄︎
pilin ❦︎
pimeja ■︎
pini ⟟︎
pipi ⩷︎
poka ⫖︎
poki ⚱︎
pona ☺︎
sama ⊜︎
seli ♨︎
selo ⎋︎
seme ⍰︎
sewi ↑︎
sijelo ♙︎
sike ○︎
sin ♲︎
sina ⇈︎
sinpin ⌸︎
sitelen ✎︎
sona ◬︎
soweli ዥ︎
suli ▽︎
suno ☼︎
supa –︎
suwi ⍨︎
tan ↤︎
taso ◦︎
tawa ⇥︎
telo ☔︎
tenpo ⌛︎
toki ᑈ︎
tomo ⌂︎
tu ⚁︎
unpa ♋︎
uta ⍥︎
utala ⚔︎
walo ☐︎
wan ⚀︎
waso ⍢︎
wawa ↯︎
weka ⤣︎
wile ❣︎
---
a 🅰️ 
akesi 🦎
akesi 🐸
ala ❌ 
alasa 🏹 
ale 🌌 
anpa 🧎
anpa 🙇
ante 🔀 
anu 🤷 
awen ⚓ 
e ⏩ 
en 🤝 
esun 🛒 
ijo 🐚 
ike 😔 
ike 👎 
ilo 🔦 
insa 🗳️ 
jaki 💩 
jan 🧑 
jelo 🍋 
jo 👜 
kala 🐟
kala 🐙 
kalama 👏 
kama 🛬 
kasi 🌱 
ken 💪 
kepeken ✍️ 
kili 🍎 
kiwen 💎 
ko 🍦 
kon 💨 
kule 🌈 
kulupu 👥 
kute 👂 
la ℹ️ 
la 💁 
lape 😴 
laso ☘️ 
lawa 👑 
len 🧣 
lete ❄️ 
li ▶️ 
lili 🐁 
linja 🧶 
lipu 🍁 
loje 👅 
lon ⏺️
lon ✅
lon 🫴
luka 🖐️ 
lukin 👀 
lupa 🚪 
ma 🏝️ 
mama 🍼 
mani 🐮 
meli 👩
meli 🚺
mi 👇
mi 🅿️ 
mije 👨
mije 🚹 
moku 🍜 
moli 😵 
monsi 🍑 
mu 🐽 
mun 🌙 
musi 🎭 
mute 👐 
nanpa #️⃣ 
nasa 🌀 
nasin 🛤️ 
nena 🗻 
ni ⬇️
ni ⬆️
ni ⬅️
ni ➡️ 
nimi 📛 
noka 🦵 
o 🅾️ 
olin 💕 
ona 👈
ona ♋️
open 🎬 
pakala 💥 
pali 🏗️ 
palisa 📏 
pan 🍞 
pana 🙌 
pi 📎 
pilin ❤️ 
pimeja 🎱 
pini 🏁
pini 🛑 
pipi 🐛 
poka 👯 
poki 📦 
pona 😌
pona 👍
pu 🧘 
sama ⚖️ 
seli 🔥 
selo 🍌 
seme ❓ 
sewi ☁️ 
sijelo 🧍 
sike ⭕ 
sin ✨ 
sina 👆 
sina 6️⃣ 
sinpin 🗿 
sitelen 🎨
sitelen 🖼
sona 🧠 
soweli 🦔 
suli 🐘 
suno ☀️ 
supa 🛏️ 
suwi 🍬 
tan ↩️ 
taso 🚦
taso 🚥
tawa 🛫 
telo 💧 
tenpo 🕒 
toki 💬 
tomo 🏠
tu ⏸️ 
unpa 🍆 
uta 👄 
utala ⚔️
utala 🆚
walo 🐑 
wan  1️⃣ 
waso 🐦 
wawa ⚡ 
weka 🆑 
wile 🙏 🧲
epiku 😁 
jasima 🪞 🪩
kijetesantakalu 🦡
kijetesantakalu 🦝 
kin  *️⃣ 
kipisi ✂️ 
kokosila 🐊 
ku 🔬 
lanpan 🤳 
leko 🧱 
meso 😑 
misikeke 💊 
monsuta 👻 
n 🆖 
namako 🌶️ 
oko 👁️ 
soko 🍄 
tonsi ⚧️ 
majuna 🪷
majuna 💾
majuna 🧓 
su 🧙
su 🧵
[ 🖌️
] 🖌️
